tahun_pemilu,kecamatan,kelurahan,no_tps,id_record,dpt,pengguna_hak_pilih,partisipasi_politik,dpt_total_tps,penduduk_total_kelurahan,penduduk_total_kecamatan,rasio_dpt_terhadap_penduduk_kelurahan,pendapatan_per_kapita,tingkat_pengangguran,kepadatan_penduduk,ipm,jumlah_usia_17_24_kec,jumlah_usia_25_44_kec,jumlah_usia_45_plus_kec,persen_usia_17_24_kec,persen_usia_25_44_kec,persen_usia_45_plus_kec
2024,BANJARMASIN BARAT,PELAMBUAN,25,2024-BANJARMASIN BARAT-PELAMBUAN-025,295,258,87.46,295,25504,137895,1.16,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,26,2024-BANJARMASIN BARAT-PELAMBUAN-026,281,213,75.8,281,25504,137895,1.1,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,27,2024-BANJARMASIN BARAT-PELAMBUAN-027,300,260,86.67,300,25504,137895,1.18,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,28,2024-BANJARMASIN BARAT-PELAMBUAN-028,166,140,84.34,166,25504,137895,0.65,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,29,2024-BANJARMASIN BARAT-PELAMBUAN-029,232,182,78.45,232,25504,137895,0.91,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,31,2024-BANJARMASIN BARAT-PELAMBUAN-031,259,191,73.75,259,25504,137895,1.02,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,32,2024-BANJARMASIN BARAT-PELAMBUAN-032,142,118,83.1,142,25504,137895,0.56,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,33,2024-BANJARMASIN BARAT-PELAMBUAN-033,256,186,72.66,256,25504,137895,1,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,34,2024-BANJARMASIN BARAT-PELAMBUAN-034,253,242,95.65,253,25504,137895,0.99,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,35,2024-BANJARMASIN BARAT-PELAMBUAN-035,201,182,90.55,201,25504,137895,0.79,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,36,2024-BANJARMASIN BARAT-PELAMBUAN-036,280,234,83.57,280,25504,137895,1.1,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,37,2024-BANJARMASIN BARAT-PELAMBUAN-037,211,201,95.26,211,25504,137895,0.83,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,38,2024-BANJARMASIN BARAT-PELAMBUAN-038,289,268,92.73,289,25504,137895,1.13,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,39,2024-BANJARMASIN BARAT-PELAMBUAN-039,225,159,70.67,225,25504,137895,0.88,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,40,2024-BANJARMASIN BARAT-PELAMBUAN-040,247,213,86.23,247,25504,137895,0.97,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,41,2024-BANJARMASIN BARAT-PELAMBUAN-041,232,175,75.43,232,25504,137895,0.91,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,42,2024-BANJARMASIN BARAT-PELAMBUAN-042,255,213,83.53,255,25504,137895,1,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,43,2024-BANJARMASIN BARAT-PELAMBUAN-043,117,99,84.62,117,25504,137895,0.46,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,44,2024-BANJARMASIN BARAT-PELAMBUAN-044,174,140,80.46,174,25504,137895,0.68,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,45,2024-BANJARMASIN BARAT-PELAMBUAN-045,178,138,77.53,178,25504,137895,0.7,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,46,2024-BANJARMASIN BARAT-PELAMBUAN-046,292,231,79.11,292,25504,137895,1.14,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,47,2024-BANJARMASIN BARAT-PELAMBUAN-047,286,207,72.38,286,25504,137895,1.12,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,48,2024-BANJARMASIN BARAT-PELAMBUAN-048,238,223,93.7,238,25504,137895,0.93,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,49,2024-BANJARMASIN BARAT-PELAMBUAN-049,219,219,100,219,25504,137895,0.86,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
2024,BANJARMASIN BARAT,PELAMBUAN,50,2024-BANJARMASIN BARAT-PELAMBUAN-050,251,218,86.85,251,25504,137895,0.98,66989407,6.56,10550.43,80.53,18768,41051,44430,13.61,29.77,32.22
